Rank,Page URL,Best Position,Average Position,Total Keywords,Top 3 Rankings,Top 10 Rankings,Page 2 Rankings,Clicks,Impressions,CTR %,Top Query,Top Query Position
1,https://careerplanb.co/,1.0,6.6,215,105,168,38,192,1447,13.27,career plan b,1.3
2,https://careerplanb.co/iit-bombay-cut-offs-2025-branch-wise-closing-ranks/,2.2,6.6,50,1,48,2,153,10656,1.44,iit bombay cutoff,5.3
3,https://careerplanb.co/uptac-2026-engineering-admissions/,1.0,2.2,45,38,45,0,143,9680,1.48,uptac form date 2026,2.3
4,https://careerplanb.co/jceceb-dates-jharkhand-cet/,1.0,3.2,42,24,42,0,117,12595,0.93,jceceb application form 2026,2.5
5,https://careerplanb.co/class-10-science-chapter-wise-marking-scheme-2025/,1.3,5.6,40,2,38,2,111,2357,4.71,marking scheme class 10 science,4.1
6,https://careerplanb.co/easiest-government-exams-india-2025/,1.0,2.8,88,70,86,2,111,5503,2.02,which government exam is easy to crack,1.6
7,https://careerplanb.co/neet-counselling-refund-mcc-vs-state-timeline/,1.0,2.5,59,43,59,0,102,4805,2.12,mcc security deposit refund 2026 neet ug,2.1
8,https://careerplanb.co/top-government-jobs-after-12th-with-high-salary-in-india/,1.0,3.7,49,31,48,0,82,5212,1.57,12वीं पास के लिए 25 से 80 हजार तक सैलरी वाली 10 सरकारी नौकरियां,3.6
9,https://careerplanb.co/government-jobs-without-exam-after-graduation/,1.0,4.4,56,27,53,2,82,3000,2.73,govt jobs without exam,4.9
10,https://careerplanb.co/pg-resident-stipend-india-guide/,1.0,2.5,72,58,71,1,82,1153,7.11,highest pg stipend in india,2.9
11,https://careerplanb.co/free-government-certification-courses-india/,1.0,10.2,44,15,31,6,70,3601,1.94,government free online courses with certificates,5.6
12,https://careerplanb.co/cmc-vellore-mbbs-admission-2026/,1.0,6.8,24,3,21,0,69,16123,0.43,cmc vellore mbbs admission 2026,7.7
13,https://careerplanb.co/iit-bombay-placements-2025-the-latest-official-report/,3.4,5.3,13,0,13,0,68,2155,3.16,iit bombay placement report,4.8
14,https://careerplanb.co/class-12-political-science-syllabus-2025/,3.5,5.1,20,0,19,1,62,4856,1.28,class 12 political science syllabus 2025-26,3.8
15,https://careerplanb.co/cbse-class-12-physics-weightage-guide-2025-26/,1.0,5.4,50,6,50,0,60,6587,0.91,physics chapter wise weightage for board 2026,4.4
16,https://careerplanb.co/gate-2026-ece-syllabus-complete-weightage-guide/,1.4,4.7,22,4,22,0,53,3926,1.35,gate ece syllabus,6.2
17,https://careerplanb.co/iiit-hyderabad-vs-iit-hyderabad-2025/,1.1,3.6,12,9,11,1,41,8896,0.46,iiit hyderabad,1.3
18,https://careerplanb.co/aiims-delhi-vs-cmc-vellore/,1.0,2.7,1120,921,1104,15,39,11525,0.34,cmc vellore,2.6
19,https://careerplanb.co/iit-delhi-closing-ranks-2025-branch-wise-analysis/,1.0,6.3,20,1,20,0,38,3688,1.03,iit delhi branch wise cutoff,4.8
20,https://careerplanb.co/dnb-course-fee-structure-india-2025/,1.0,2.3,16,12,16,0,36,680,5.29,dnb fee structure,2.7
21,https://careerplanb.co/nit-warangal-josaa-cutoff-analysis-2025/,4.3,7.0,15,0,15,0,34,3291,1.03,nit warangal cutoff 2025,5.3
22,https://careerplanb.co/dtu-nsut-iiitd-igdtuw-admission-without-jee-main/,1.0,3.1,19,11,19,0,33,2940,1.12,dtu,2.7
23,https://careerplanb.co/comedk-uget-2025-top-engineering-colleges/,1.0,2.9,16,11,16,0,32,6346,0.50,comedk colleges,3.8
24,https://careerplanb.co/iit-bhu-branch-wise-cutoff-last-round-2025/,3.6,5.3,8,0,8,0,30,2667,1.12,iit bhu cutoff,6.0
25,https://careerplanb.co/cfti-colleges-list-2026/,1.2,4.2,18,6,18,0,30,3719,0.81,cfti full form,1.7
26,https://careerplanb.co/iit-tirupati-placements-2025/,1.8,4.0,11,4,11,0,29,1157,2.51,iit tirupati placements 2025,2.6
27,https://careerplanb.co/sri-ramachandra-medical-college-pg-fees-seats/,3.0,6.2,16,1,15,0,29,649,4.47,sri ramachandra medical college pg fees structure,5.6
28,https://careerplanb.co/gate-2026-biotechnology-syllabus-complete-weightage-guide/,3.2,4.8,9,0,9,0,28,1118,2.50,gate biotechnology syllabus 2026,4.1
